mark,japanese_title,english_title,release_date,search_keywords,exclude_keywords,division_code,work_code,manufacturer_code,product_category_code
SF,プレミアムトレーナーボックス ICHIGEKI,Premium Trainer Box ICHIGEKI,2021-01-22,"プレミアムトレーナーボックス ICHIGEKI,プレミアムトレーナーボックスICHIGEKI",,DIV01,IP001,MK001,PC_BOX
SF,プレミアムトレーナーボックス RENGEKI,Premium Trainer Box RENGEKI,2021-01-22,"プレミアムトレーナーボックス RENGEKI,プレミアムトレーナーボックスRENGEKI",,DIV01,IP001,MK001,PC_BOX
SP3,ジャンボパックセット 白銀のランス＆漆黒のガイスト,Jumbo Pack Set Silver Lance & Jet-Black Spirit,2021-04-23,"ジャンボパックセット 白銀のランス＆漆黒のガイスト,ジャンボパックセット白銀のランス＆漆黒のガイスト",,DIV01,IP001,MK001,PC_BOX
SP4,VMAXスペシャルセット イーブイヒーローズ,VMAX Special Set Eevee Heroes,2021-05-28,"VMAXスペシャルセット イーブイヒーローズ,VMAXスペシャルセットイーブイヒーローズ",,DIV01,IP001,MK001,PC_BOX
SH,ファミリーポケモンカードゲーム（ソード＆シールド）,Sword & Shield Family Pokemon Card Game,2021-07-09,ファミリーポケモンカードゲーム（ソード＆シールド）,,DIV01,IP001,MK001,PC_BOX
SH,いつでもどこでもファミリーポケモンカードゲーム,Anytime Anywhere Family Pokemon Card Game,2021-07-09,いつでもどこでもファミリーポケモンカードゲーム,,DIV01,IP001,MK001,PC_BOX
SP5,スペシャルカードセット ミュウツーV-UNION,Mewtwo V-UNION Special Card Set,2021-08-20,"スペシャルカードセット ミュウツーV-UNION,スペシャルカードセットミュウツーV-UNION",,DIV01,IP001,MK001,PC_BOX
SP5,スペシャルカードセット ゲッコウガV-UNION,Greninja V-UNION Special Card Set,2021-08-20,"スペシャルカードセット ゲッコウガV-UNION,スペシャルカードセットゲッコウガV-UNION",,DIV01,IP001,MK001,PC_BOX
SP5,スペシャルカードセット ザシアンV-UNION,Zacian V-UNION Special Card Set,2021-08-20,"スペシャルカードセット ザシアンV-UNION,スペシャルカードセットザシアンV-UNION",,DIV01,IP001,MK001,PC_BOX
SJ,スペシャルデッキセット ザシアン・ザマゼンタ vs ムゲンダイナ,Zacian & Zamazenta vs Eternatus Special Deck Set,2021-11-05,"スペシャルデッキセット ザシアン・ザマゼンタ vs ムゲンダイナ,スペシャルデッキセットザシアン・ザマゼンタvsムゲンダイナ",,DIV01,IP001,MK001,PC_BOX
SI,スタートデッキ100,Start Deck 100,2021-12-17,スタートデッキ100,コロコロ,DIV01,IP001,MK001,PC_BOX
SN,スタートデッキ100 コロコロコミックVer.,Start Deck 100 CoroCoro Comic Version,,"スタートデッキ100 コロコロコミックVer.,スタートデッキ100コロコロコミックVer.",,DIV01,IP001,MK001,PC_BOX
SK,プレミアムトレーナーボックス VSTAR,VSTAR Premium Trainer Box,2022-01-14,"プレミアムトレーナーボックス VSTAR,プレミアムトレーナーボックスVSTAR",,DIV01,IP001,MK001,PC_BOX
SLL,スターターセットVSTAR ルカリオ,Lucario VSTAR Starter Set,2022-02-25,"スターターセットVSTAR ルカリオ,スターターセットVSTARルカリオ",種セット,DIV01,IP001,MK001,PC_BOX
SLD,スターターセットVSTAR ダークライ,Darkrai VSTAR Starter Set,2022-02-25,"スターターセットVSTAR ダークライ,スターターセットVSTARダークライ",種セット,DIV01,IP001,MK001,PC_BOX
SPZ,VSTAR&VMAX ハイクラスデッキ ゼラオラ,Zeraora VSTAR & VMAX High-Class Deck,2022-07-15,"VSTAR&VMAX ハイクラスデッキ ゼラオラ,VSTAR&VMAXハイクラスデッキゼラオラ",種セット,DIV01,IP001,MK001,PC_BOX
SPD,VSTAR&VMAX ハイクラスデッキ デオキシス,Deoxys VSTAR & VMAX High-Class Deck,2022-07-15,"VSTAR&VMAX ハイクラスデッキ デオキシス,VSTAR&VMAXハイクラスデッキデオキシス",種セット,DIV01,IP001,MK001,PC_BOX
SP6,VSTARスペシャルセット,VSTAR Special Set,2022-08-05,VSTARスペシャルセット,,DIV01,IP001,MK001,PC_BOX
SO,スペシャルデッキセット リザードンVSTAR vs レックウザVMAX,Charizard VSTAR vs Rayquaza VMAX Special Deck Set,2022-11-04,"スペシャルデッキセット リザードンVSTAR vs レックウザVMAX,スペシャルデッキセットリザードンVSTARvsレックウザVMAX",,DIV01,IP001,MK001,PC_BOX
